,Date,Symbol,LGBM_Prob_5.0%hit,Adj Close,Capitalization,Industry,Invest_Amount,Shares
17872,2019-12-16,GUJGASLTD,0.1005720553596829,227.66136169433602,MIDCAP,OIL & GAS,20114.41107193658,88.0
17873,2019-12-16,SONATSOFTW,0.10009081444931688,283.67938232421875,SMALLCAP,IT,20018.162889863375,71.0
17874,2019-12-16,DIXON,0.10000740625234017,3560.567138671875,SMALLCAP,CONSUMER GOODS,20001.481250468034,6.0
17875,2019-12-16,INFIBEAM,0.09991360080362567,47.20000076293945,SMALLCAP,IT,19982.720160725134,423.0
17876,2019-12-16,SCHNEIDER,0.09964485634593666,62.6500015258789,SMALLCAP,INDUSTRIAL MANUFACTURING,19928.971269187332,318.0
17877,2019-12-16,SRF,0.09950896842701257,3258.561767578125,MIDCAP,INDUSTRIAL MANUFACTURING,19901.793685402514,6.0
17878,2019-12-16,LTI,0.09936077371576069,1619.284912109375,LARGE,IT,19872.154743152136,12.0
17879,2019-12-16,AARTIDRUGS,0.0993211524526407,122.28636169433594,SMALLCAP,PHARMA,19864.230490528138,162.0
17860,2019-12-13,ADANIGREEN,0.10075838515109044,132.64999389648438,LARGE,POWER,20151.67703021809,152.0
17861,2019-12-13,INFIBEAM,0.1004663449954684,46.849998474121094,SMALLCAP,IT,20093.26899909368,429.0
17862,2019-12-13,GUJGASLTD,0.100297407678747,230.69818115234366,MIDCAP,OIL & GAS,20059.481535749397,87.0
17863,2019-12-13,RAIN,0.09995077039108752,94.80896759033205,SMALLCAP,CHEMICALS,19990.154078217503,211.0
17864,2019-12-13,LTI,0.09993573074092589,1619.630615234375,LARGE,IT,19987.146148185177,12.0
17865,2019-12-13,POLYPLEX,0.09987509053420257,464.0116271972656,SMALLCAP,INDUSTRIAL MANUFACTURING,19975.018106840515,43.0
17866,2019-12-13,DIXON,0.0998273159132693,3544.03759765625,SMALLCAP,CONSUMER GOODS,19965.463182653857,6.0
17867,2019-12-13,SONATSOFTW,0.09966770829534444,281.8815612792969,SMALLCAP,IT,19933.541659068887,71.0
17868,2019-12-13,ECLERX,0.09962586982010847,501.4969177246094,SMALLCAP,IT,19925.173964021695,40.0
17869,2019-12-13,FORTIS,0.09959537647975615,136.25,MIDCAP,HEALTHCARE SERVICES,19919.075295951232,146.0
17850,2019-12-12,ADANIGREEN,0.10069586090252106,131.89999389648438,LARGE,POWER,20139.17218050421,153.0
17851,2019-12-12,DIXON,0.10050290673413871,3408.556396484375,SMALLCAP,CONSUMER GOODS,20100.58134682774,6.0
17852,2019-12-12,BERGEPAINT,0.10028288718652871,496.4736328125,LARGE,CONSUMER GOODS,20056.577437305743,40.0
17853,2019-12-12,RCF,0.1002271002887745,45.0,SMALLCAP,FERTILISERS & PESTICIDES,20045.4200577549,445.0
17854,2019-12-12,GUJGASLTD,0.10022487329529109,226.81504821777344,MIDCAP,OIL & GAS,20044.974659058218,88.0
17855,2019-12-12,POLYPLEX,0.100065860076894,449.39337158203125,SMALLCAP,INDUSTRIAL MANUFACTURING,20013.1720153788,45.0
17856,2019-12-12,SONATSOFTW,0.09985530751417677,279.4686889648437,SMALLCAP,IT,19971.061502835353,71.0
17857,2019-12-12,DHANUKA,0.09956801834944207,319.7643737792969,SMALLCAP,FERTILISERS & PESTICIDES,19913.603669888413,62.0
17858,2019-12-12,COROMANDEL,0.09930142179769305,502.20745849609375,MIDCAP,FERTILISERS & PESTICIDES,19860.28435953861,40.0
17859,2019-12-12,RATNAMANI,0.09927576385454005,981.4598999023438,SMALLCAP,METALS,19855.15277090801,20.0
17840,2019-12-11,ADANIGREEN,0.10085437809129673,132.55000305175778,LARGE,POWER,20170.875618259346,152.0
17841,2019-12-11,DIXON,0.10059290533189422,3439.068359375,SMALLCAP,CONSUMER GOODS,20118.581066378843,6.0
17842,2019-12-11,GUJGASLTD,0.10026733325346018,221.08990478515625,MIDCAP,OIL & GAS,20053.466650692037,91.0
17843,2019-12-11,NOCIL,0.1001104456358715,91.99327087402344,SMALLCAP,CHEMICALS,20022.0891271743,218.0
17844,2019-12-11,GMMPFAUDLR,0.1000134195826111,1627.68212890625,SMALLCAP,INDUSTRIAL MANUFACTURING,20002.68391652222,12.0
17845,2019-12-11,POLYPLEX,0.09983145895296809,448.5445861816406,SMALLCAP,INDUSTRIAL MANUFACTURING,19966.29179059362,45.0
17846,2019-12-11,MINDTREE,0.09976055195051835,742.7940063476562,MIDCAP,IT,19952.11039010367,27.0
17847,2019-12-11,SAIL,0.09973266203504438,38.20000076293945,MIDCAP,METALS,19946.532407008875,522.0
17848,2019-12-11,INFIBEAM,0.09941895093868332,46.45000076293945,SMALLCAP,IT,19883.790187736664,428.0
17849,2019-12-11,RAIN,0.09941789422765202,91.59090423583984,SMALLCAP,CHEMICALS,19883.578845530403,217.0
17830,2019-12-10,ADANIGREEN,0.10106683099993566,126.9000015258789,LARGE,POWER,20213.366199987133,159.0
17831,2019-12-10,GUJGASLTD,0.1004057755496334,225.07261657714844,MIDCAP,OIL & GAS,20081.15510992668,89.0
17832,2019-12-10,GMMPFAUDLR,0.10034398329779438,1640.0125732421875,SMALLCAP,INDUSTRIAL MANUFACTURING,20068.796659558877,12.0
17833,2019-12-10,POLYPLEX,0.10030635211997664,443.40460205078125,SMALLCAP,INDUSTRIAL MANUFACTURING,20061.270423995327,45.0
17834,2019-12-10,APLAPOLLO,0.10003388065786559,319.5299987792969,SMALLCAP,METALS,20006.77613157312,63.0
17835,2019-12-10,DHANUKA,0.10001081814175254,303.54962158203125,SMALLCAP,FERTILISERS & PESTICIDES,20002.163628350507,66.0
17836,2019-12-10,NOCIL,0.09977097055379143,91.94499969482422,SMALLCAP,CHEMICALS,19954.194110758286,217.0
17837,2019-12-10,AARTIDRUGS,0.09940240586192316,126.52936553955078,SMALLCAP,PHARMA,19880.481172384632,157.0
17838,2019-12-10,MINDTREE,0.09935944573200674,725.818359375,MIDCAP,IT,19871.889146401347,27.0
17839,2019-12-10,TATAMOTORS,0.09929953708532055,159.6999969482422,LARGE,AUTOMOBILE,19859.90741706411,124.0
17820,2019-12-09,ADANIGREEN,0.10111584411384031,124.6500015258789,LARGE,POWER,20223.16882276806,162.0
17821,2019-12-09,DHANUKA,0.10041018106387037,310.1308898925781,SMALLCAP,FERTILISERS & PESTICIDES,20082.036212774074,65.0
17822,2019-12-09,GMMPFAUDLR,0.10038999124595532,1652.9422607421875,SMALLCAP,INDUSTRIAL MANUFACTURING,20077.998249191063,12.0
17823,2019-12-09,GUJGASLTD,0.10036369180044878,229.3042297363281,MIDCAP,OIL & GAS,20072.738360089756,88.0
17824,2019-12-09,VAKRANGEE,0.10020519954559459,41.290374755859375,SMALLCAP,IT,20041.039909118917,485.0
17825,2019-12-09,MINDTREE,0.10010304826762953,737.4799194335938,MIDCAP,IT,20020.609653525906,27.0
17826,2019-12-09,AARTIDRUGS,0.09967750720297124,128.38716125488278,SMALLCAP,PHARMA,19935.501440594246,155.0
17827,2019-12-09,RCF,0.09927698152381562,45.70000076293945,SMALLCAP,FERTILISERS & PESTICIDES,19855.396304763122,434.0
17828,2019-12-09,BAYERCROP,0.09924454027391993,3485.9716796875,MIDCAP,FERTILISERS & PESTICIDES,19848.908054783988,6.0
17829,2019-12-09,SRF,0.09921301496195427,3234.683837890625,MIDCAP,INDUSTRIAL MANUFACTURING,19842.602992390854,6.0
17810,2019-12-06,ADANIGREEN,0.1009780980797199,126.4000015258789,LARGE,POWER,20195.61961594398,160.0
17811,2019-12-06,POLYPLEX,0.1004087587636623,426.0984802246094,SMALLCAP,INDUSTRIAL MANUFACTURING,20081.75175273246,47.0
17812,2019-12-06,GUJGASLTD,0.10031963420754371,226.26742553710938,MIDCAP,OIL & GAS,20063.926841508743,89.0
17813,2019-12-06,DIXON,0.10026959819509035,3446.0595703125,SMALLCAP,CONSUMER GOODS,20053.91963901807,6.0
17814,2019-12-06,GMMPFAUDLR,0.10014571592831788,1635.419921875,SMALLCAP,INDUSTRIAL MANUFACTURING,20029.143185663575,12.0
17815,2019-12-06,DHANUKA,0.09993644077810158,300.0682373046875,SMALLCAP,FERTILISERS & PESTICIDES,19987.288155620317,67.0
